timestamp, hostName, cpuDemand, cpuUsage, cpuUtilization, cpuIdleTime, energyUsage
5280, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5340, host-0, 64680.0, 64680.0, 0.8, 0.4125, 979, 132.5
5340, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5340, host-2, 125440.0, 125440.0, 0.799, 0.8, 1123, 210.0
5340, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5400, host-0, 60760.0, 60760.0, 0.8, 0.3875, 1986, 127.5
5400, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5400, host-2, 125440.0, 125440.0, 0.8, 0.8, 179, 210.0
5400, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5460, host-0, 56840.0, 56840.0, 0.8, 0.3625, 2005, 122.5
5460, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5460, host-2, 125440.0, 125440.0, 0.0, 0.8, 0, 210.0
5460, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5520, host-0, 54880.0, 54880.0, 0.8, 0.35, 1011, 120.0
5520, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
5520, host-2, 125440.0, 125440.0, 0.798, 0.8, 95, 210.0
5520, host-3, 70560.0, 70560.0, 0.0, 0.45, 0, 140.0
5580, host-0, 50960.0, 50960.0, 0.8, 0.325, 2052, 115.0
5580, host-1, 125440.0, 125440.0, 0.0, 0.8, 0, 52.5
